Price,Strike,IV
126.8,50,2.1236750756635168
116.25,60,1.5494874168663455
111.7,65,1.6715731720816107
106.9,70,1.6183038301014254
101.75,75,1.4567224929777771
96.5,80,1.2667286258112833
91.7,85,1.2359181853829795
86.6,90,1.112554725352565
81.75,95,1.0672855650188064
76.95,100,1.0302109313278716
72.1,105,0.9785657445482959
66.65,110,0.8017987661778897
62.2,115,0.83990942529991
56.65,120,0.6607917604565621
52.4,125,0.7239644708548344
47.05,130,0.603670702723183
41.8,135,0.49851130036645236
37.05,140,0.47550995315061106
32.05,145,0.4141362790656729
27.65,150,0.4157161257387395
22.45,155,0.3341063697436566
18.2,160,0.3260154193228933
13.8,165,0.29133900930903833
10.25,170,0.28463764667861335
5.8,175,0.2161121671111939
3.2,180,0.20088972297697874
1.62,185,0.19557558843030245
0.65,190,0.18569669067823039
0.29,195,0.1898815838208414
0.32,200,0.22236327351392024
0.26,205,0.2299005599341731
0.08,210,0.31875277226361404
2.16,215,0.5200314429866658
0.05,220,0.2533697922853585
0.05,225,0.27717993049012235
0.04,230,0.2759746975855486
0.04,235,0.29558999817925685
0.04,240,0.31453988257308785
0.19,245,0.40955049216253436
0.03,250,0.3427871414632099
